RM,LSTAT,PTRATIO,MEDV
6.575,4.98,15.3,504000.0
6.421,9.14,17.8,453600.0
7.185,4.03,17.8,728700.0
6.998,2.94,18.7,701400.0
7.147,5.33,18.7,760200.0
6.43,5.21,18.7,602700.0
6.012,12.43,15.2,480900.0
6.172,19.15,15.2,569100.0
5.631,29.93,15.2,346500.0
6.004,17.1,15.2,396900.0
6.377,20.45,15.2,315000.0
6.009,13.27,15.2,396900.0
5.889,15.71,15.2,455700.0
5.949,8.26,21.0,428400.0
6.096,10.26,21.0,382200.0
5.834,8.47,21.0,417900.0
5.935,6.58,21.0,485100.0
5.99,14.67,21.0,367500.0
5.456,11.69,21.0,424200.0
5.727,11.28,21.0,382200.0
5.57,21.02,21.0,285600.0
5.965,13.83,21.0,411600.0
6.142,18.72,21.0,319200.0
5.813,19.88,21.0,304500.0
5.924,16.3,21.0,327600.0
5.599,16.51,21.0,291900.0
5.813,14.81,21.0,348600.0
6.047,17.28,21.0,310800.0
6.495,12.8,21.0,386400.0
6.674,11.98,21.0,441000.0
5.713,22.6,21.0,266700.0
6.072,13.04,21.0,304500.0
5.95,27.71,21.0,277200.0
5.701,18.35,21.0,275100.0
6.096,20.34,21.0,283500.0
5.933,9.68,19.2,396900.0
5.841,11.41,19.2,420000.0
5.85,8.77,19.2,441000.0
5.966,10.13,19.2,518700.0
6.595,4.32,18.3,646800.0
7.024,1.98,18.3,732900.0
6.77,4.84,17.9,558600.0
6.169,5.81,17.9,531300.0
6.211,7.44,17.9,518700.0
6.069,9.55,17.9,445200.0
5.682,10.21,17.9,405300.0
5.786,14.15,17.9,420000.0
6.03,18.8,17.9,348600.0
5.399,30.81,17.9,302400.0
